side,qty,entry_ref,entry_fill,entry_time_ms,signal_time_ms,entry_fee,funding,initial_stop,stop,initial_risk_usd,sleeve,max_net_r,exit_next,target,symbol,exit_time_ms,exit_ref,exit_fill,fees,slippage,friction_topup,net_pnl,net_r,exit_reason
-1,88070.86573898155,0.02649,0.02646351,1609460100000,1609459200000,1.8645313889537565,0.0,0.02694805097090448,0.02694805097090448,50.0,2,-0.19132443711876834,,0.0241104924648051,TRXUSDT,1609463699999,0.02694805097090448,0.026988473047360836,3.766049937957147,5.893004501904261,0.0,-49.99999999999999,-0.9999999999999999,stop
-1,3180.2745367476145,0.2168,0.2165832,1609460100000,1609459200000,0.5510352288378528,0.0,0.23159889120272864,0.23159889120272864,50.0,2,-0.012013805090017397,,0.1530234674753425,XRPUSDT,1609474499999,0.23159889120272864,0.23194628953953275,1.1411575316503852,1.7943056042134113,0.0,-50.0,-1.0,stop
1,7346.235026967677,0.18461,0.18479460999999997,1609465500000,1609464600000,1.086035709421465,0.0,0.1785606934914664,0.1785606934914664,50.0,1,-0.039368997736852714,,0.21265612963293462,ADAUSDT,1609486199999,0.1785606934914664,0.1782928524512292,2.133860667609625,3.3238116797784776,0.10270029075875947,-50.0,-1.0,stop
1,610.1082913740821,1.4705,1.4719704999999998,1609461900000,1609461000000,0.7184491253664426,0.0905888791032237,1.3945763856829976,1.3945763856829976,50.0,1,0.27218458931020023,,1.8051083166663617,NEARUSDT,1609505999999,1.3945763856829976,1.3924845211044732,1.3981022069151683,2.1734281662551327,0.10684302093860892,-50.09058887910322,-1.0018117775820645,stop
