Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total PnL (USD),YTD ROI (%)
2021,+10.06%,+9.16%,+18.55%,+15.49%,+20.32%,-1.92%,+6.03%,+5.94%,+16.31%,+12.13%,+1.37%,--,"+5,671.61 USD",+113.43%
2022,+10.86%,--,--,+21.54%,+5.78%,--,+17.82%,+20.16%,+3.94%,+21.64%,+17.67%,+18.13%,"+6,876.47 USD",+137.53%
2023,+23.76%,+11.63%,--,+38.62%,+20.69%,-2.03%,+46.50%,+25.41%,+22.88%,+25.62%,--,--,"+10,654.68 USD",+213.09%
2024,+28.67%,+4.80%,--,+29.68%,+14.25%,--,+16.56%,+6.08%,--,+17.15%,+1.24%,--,"+5,921.65 USD",+118.43%
2025,+13.59%,+8.60%,--,+28.33%,+16.48%,--,+14.59%,-1.94%,--,+19.64%,+9.41%,--,"+5,434.96 USD",+108.70%
2026,+20.19%,-0.30%,--,+10.22%,+19.74%,-1.62%,+22.70%,+27.07%,--,--,--,--,"+4,900.10 USD",+98.00%
