fam,tag,geo,n,net_r,gross_r,wr,pf,avg_bars
T2,tsmom7d_hi15,SURV_W,3045,-0.13866241746388286,0.11133758253611714,27.553366174055828,0.7810868149943179,611.7106732348111
T6,xs_decile,SURV_W,11109,-0.16309699418782472,0.08690300581217528,30.335763795121075,0.7247321462568251,814.69889278963
T1,donchW_tide,SURV_W,12190,-0.17590339766872035,0.07409660233127965,30.360951599671864,0.6940057818713061,840.8418375717802
T1,donchW_free,SURV_W,12276,-0.17857215914460234,0.07142784085539766,30.27859237536657,0.6901198664748336,840.8302378624959
T9,oi_break,FAST,47098,-0.1845436179662138,0.0654563820337862,44.5751411949552,0.7326558703460587,9.148307783770012
T2,tsmom7d,SURV_W,36082,-0.18508956338336058,0.06491043661663942,29.13364004212627,0.6942234317623057,760.0325647137076
T3,pullback_W,SURV_W,16862,-0.19020352957174846,0.059796470428251536,30.204009014351797,0.6810203344658043,803.8935476218717
T8,btc_lead,FAST,45400,-0.20887572506386926,0.041124274936130745,47.409691629955944,0.681509564037498,9.519669603524228
T3,pullback_M,SURV_M,26252,-0.22730169013155205,0.022698309868447952,27.12555233886942,0.6469850028401414,264.8750952308396
T7,orb_fast,FAST,27214,-0.2290372675715433,0.0209627324284567,44.97317557139707,0.665278891914152,9.94297052987433
T4,nr7_fast,FAST,7017,-0.22988470571034378,0.02011529428965622,46.316089496936016,0.657139533585398,8.673364685763147
T5,fund_carry,MID,20417,-0.23986360989515018,0.010136390104849818,49.728167703384436,0.5798976837316377,52.06871724543273
