spec,hz,tg,st,n,mean_r,wr,pf
INV_suite,48,2.0,1.0,414,-0.18260869565217389,60.6280193236715,0.628957055214724
INV_suite,96,2.0,1.0,414,-0.13466183574879226,56.52173913043478,0.7522222222222222
ORIG_suite,24,2.0,0.75,389,-0.28238236563818514,39.84575835475578,0.5202523495213148
ORIG_suite,48,2.0,1.0,388,-0.2612359602392624,54.89690721649485,0.5291765937126032
ORIG_suite,96,2.0,1.0,388,-0.2565721649484536,48.96907216494845,0.5977777777777779
E2_trend_mom,24,2.0,0.75,140,-0.2942857142857143,42.142857142857146,0.4913580246913581
E2_trend_mom,48,2.0,1.0,140,-0.37142857142857144,54.285714285714285,0.35000000000000003
E2_trend_mom,96,2.0,1.0,140,-0.3278571428571429,49.28571428571429,0.4828169014084508
E5_t2_sweep,24,2.0,0.75,340,-0.27043158892133534,40.294117647058826,0.5355468751743332
E5_t2_sweep,48,2.0,1.0,339,-0.2696446978549669,54.572271386430685,0.5164320783090249
E5_t2_sweep,96,2.0,1.0,339,-0.25663716814159293,48.67256637168141,0.6
INV_suite,24,2.0,0.75,389,-0.17297435049789,46.01542416452442,0.6660422383785795
INV_suite,48,2.0,1.0,388,-0.15417140641817617,60.30927835051546,0.6886374611579782
INV_suite,96,2.0,1.0,388,-0.1495853731155445,54.38144329896907,0.737676272231271
ORIG_suite,24,2.0,0.75,404,-0.429368952698039,32.67326732673268,0.34773417054616707
ORIG_suite,48,2.0,1.0,404,-0.35831111093371754,50.742574257425744,0.41252771164702184
ORIG_suite,96,2.0,1.0,404,-0.43304455445544554,41.089108910891085,0.4119327731092437
E2_trend_mom,24,2.0,0.75,73,-0.239701799180381,46.57534246575342,0.5513274015341586
E2_trend_mom,48,2.0,1.0,73,-0.38082191780821917,50.68493150684932,0.3822222222222223
E2_trend_mom,96,2.0,1.0,73,-0.35342465753424657,47.94520547945205,0.4568421052631579
E5_t2_sweep,24,2.0,0.75,359,-0.40951269328692974,32.86908077994429,0.3742502982036023
E5_t2_sweep,48,2.0,1.0,359,-0.333447601162178,51.81058495821726,0.4403768771513924
E5_t2_sweep,96,2.0,1.0,359,-0.4044568245125348,41.78272980501393,0.4442105263157895
INV_suite,24,2.0,0.75,404,-0.13976215412245302,49.75247524752475,0.7136390943652227
INV_suite,48,2.0,1.0,404,-0.060785649891917086,67.07920792079209,0.8507986042612661
INV_suite,96,2.0,1.0,404,-0.06522277227722771,60.89108910891089,0.8665822784810127
ORIG_suite,24,2.0,0.75,375,-0.2244600856301879,44.0,0.5884494500258409
ORIG_suite,48,2.0,1.0,374,-0.19925549269094955,57.21925133689839,0.6273922286679242
ORIG_suite,96,2.0,1.0,374,-0.20160427807486628,52.67379679144385,0.6592090395480227
E2_trend_mom,24,2.0,0.75,128,-0.3828125,41.40625,0.3466666666666666
E2_trend_mom,48,2.0,1.0,128,-0.41445312500000003,52.34375,0.3042622950819672
E2_trend_mom,96,2.0,1.0,128,-0.471875,44.53125,0.31943661971830983
E5_t2_sweep,24,2.0,0.75,308,-0.21416719387973357,44.15584415584416,0.607419509814105
E5_t2_sweep,48,2.0,1.0,307,-0.212214983713355,55.700325732899024,0.6167647058823529
E5_t2_sweep,96,2.0,1.0,307,-0.21254071661237786,50.814332247557005,0.6543046357615895
INV_suite,24,2.0,0.75,375,-0.2679114504335671,43.2,0.5151036701153668
INV_suite,48,2.0,1.0,374,-0.25117813097090924,56.68449197860963,0.5345467493797543
INV_suite,96,2.0,1.0,374,-0.25606814458137706,51.33689839572193,0.5790352260508351
