gate,n_keep,n_drop,keep_gross,drop_gross,delta,p_raw,p_holm
G1 drop crowded-long longs,2468,504,0.12440488886655461,0.0774293207294311,0.046975568137123516,0.20125,1.0
G2 drop crowded-short shorts,2448,524,0.12477859934604742,0.07747639727321745,0.047302202072829966,0.201,1.0
G4 shorts need long-liq fuel,2313,659,0.12753724231205615,0.07748406965478628,0.05005317265726987,0.20825,1.0
G5 longs when spot leads,1929,1043,0.09451999150588773,0.15697658653445118,-0.06245659502856345,0.865,1.0
G6 drop longs on falling OI,2881,91,0.10913073355442209,0.34780219780219745,-0.23867146424777536,0.90475,1.0
G7 keep whale-active,1779,1193,0.165169984590783,0.04377052873703863,0.12139945585374437,0.00275,0.01925
G8 keep strong taker side,2918,54,0.11862544142985443,-0.0017295318893545285,0.12035497331920895,0.2265,1.0
