fam,tag,geo,n,net_r,gross_r,wr,pf,avg_bars
T2,tsmom7d_hi15,SURV_W,3042,0.04912797863806413,0.2991279786380641,47.20578566732413,1.0951953186473868,611.2859960552269
T6,xs_decile,SURV_W,11072,0.045603892390542175,0.2956038923905422,48.60007225433526,1.0975704422765264,814.1986994219653
T1,donchW_tide,SURV_W,12147,0.03410904114986152,0.2841090411498615,49.45253972174199,1.0760569967885991,840.5491891001893
T1,donchW_free,SURV_W,12233,0.03138857996999461,0.2813885799699946,49.309245483528166,1.0698068247147603,840.534455979727
T3,pullback_W,SURV_W,16800,0.020440303413413533,0.2704403034134135,48.82738095238095,1.0435355202624748,803.3882142857143
T2,tsmom7d,SURV_W,35950,0.018363308782313934,0.26836330878231396,48.62865090403338,1.0380977482404543,759.3258414464534
T3,pullback_M,SURV_M,26149,-0.055947565038980296,0.1940524349610197,45.13748135683965,0.8938106897331385,263.91246319170904
T5,fund_carry,MID,20367,-0.1981126123521425,0.0518873876478575,46.644081111602105,0.6446951366753628,51.36819364658516
T9,oi_break,FAST,46941,-0.6323659301771487,-0.3823659301771487,13.020600328071408,0.4306306258668482,9.061992714258324
T8,btc_lead,FAST,45231,-0.6347425108421927,-0.3847425108421927,15.047202140125135,0.39486097773107676,9.292564833852888
T7,orb_fast,FAST,27132,-0.6964231787710503,-0.4464231787710503,13.828689370485037,0.37346338234826415,9.72530591183842
T4,nr7_fast,FAST,6991,-1.114231241654354,-0.864231241654354,6.966099270490631,0.2567939826867813,8.261908167644114
