Model,AUC,Brier,LogLoss,Signals,WinRate%,Tot_R,Expectancy_R,Sharpe_R,PSR,MinTRL,DSR
Baseline XGBoost (13 Feat),0.5360319954524965,0.25163009762763977,0.6966749486990511,514,52.33463035019456,293.0,0.5700389105058365,0.3800706262926104,1.0,20.397603095989062,0.9999999999365364
Quant XGBoost (18 Feat),0.5204148872809297,0.25342628359794617,0.7005525138758025,654,52.14067278287462,369.0,0.5642201834862385,0.37620405263083806,1.0,20.735100367174386,0.9999999999996481
Quant CatBoost,0.5196328325407185,0.2511472621683352,0.6955772536425318,461,48.590021691973966,211.0,0.45770065075921906,0.30492390404326436,0.9999999999790928,29.592578587509024,0.9999991973957421
Quant LightGBM,0.5044592507843176,0.25472107892287876,0.7030879245178069,586,47.781569965870304,254.0,0.4334470989761092,0.2890026719580192,0.9999999999992879,32.56003228893371,0.9999998206388326
Quant Stacking Ensemble,0.5155143729713192,0.2869004523017243,0.7976079433330658,1080,53.24074074074075,645.0,0.5972222222222222,0.3988023356012509,1.0,18.90282722975527,1.0
